Trade Logs:
Date: 2023-04-03 23:00:00, Action: SELL, Price: 27800.00, Value: $12826.70
Date: 2023-04-04 08:00:00, Action: BUY, Price: 28103.48, Value: $0.46
Date: 2023-04-05 04:00:00, Action: SELL, Price: 28506.62, Value: $13010.69
Date: 2023-04-05 20:00:00, Action: BUY, Price: 28150.61, Value: $0.46
Date: 2023-04-06 07:00:00, Action: SELL, Price: 27910.97, Value: $12899.94
Date: 2023-04-06 21:00:00, Action: BUY, Price: 27989.16, Value: $0.46
Date: 2023-04-07 01:00:00, Action: SELL, Price: 28056.51, Value: $12930.98
Date: 2023-04-07 04:00:00, Action: BUY, Price: 28021.77, Value: $0.46
Date: 2023-04-08 03:00:00, Action: SELL, Price: 28023.39, Value: $12931.72
Date: 2023-04-08 08:00:00, Action: BUY, Price: 28025.53, Value: $0.46
Date: 2023-04-08 23:00:00, Action: SELL, Price: 27938.38, Value: $12891.51
Date: 2023-04-09 08:00:00, Action: BUY, Price: 27881.64, Value: $0.46
Date: 2023-04-09 11:00:00, Action: SELL, Price: 27930.20, Value: $12913.96
Date: 2023-04-09 12:00:00, Action: BUY, Price: 27930.07, Value: $0.46
Date: 2023-04-10 00:00:00, Action: SELL, Price: 28381.25, Value: $13122.57
Date: 2023-04-10 12:00:00, Action: BUY, Price: 28277.86, Value: $0.46
Date: 2023-04-10 21:00:00, Action: SELL, Price: 29222.34, Value: $13560.87
Date: 2023-04-12 01:00:00, Action: BUY, Price: 30170.80, Value: $0.45
Date: 2023-04-12 12:00:00, Action: SELL, Price: 30157.09, Value: $13554.71
Date: 2023-04-13 08:00:00, Action: BUY, Price: 30188.14, Value: $0.45
Date: 2023-04-15 13:00:00, Action: SELL, Price: 30335.19, Value: $13620.73
Date: 2023-04-15 14:00:00, Action: BUY, Price: 30359.39, Value: $0.45
Date: 2023-04-15 16:00:00, Action: SELL, Price: 30319.98, Value: $13603.05
Date: 2023-04-16 10:00:00, Action: BUY, Price: 30290.15, Value: $0.45
Date: 2023-04-17 08:00:00, Action: SELL, Price: 29918.10, Value: $13435.97
Date: 2023-04-18 23:00:00, Action: BUY, Price: 30380.01, Value: $0.44
Date: 2023-04-19 04:00:00, Action: SELL, Price: 30202.57, Value: $13357.49
Date: 2023-04-19 06:00:00, Action: BUY, Price: 30008.13, Value: $0.45
Date: 2023-04-19 12:00:00, Action: SELL, Price: 29218.66, Value: $13006.07
Date: 2023-04-20 05:00:00, Action: BUY, Price: 28893.52, Value: $0.45
Date: 2023-04-20 07:00:00, Action: SELL, Price: 28869.66, Value: $12995.33
Date: 2023-04-20 14:00:00, Action: BUY, Price: 28719.71, Value: $0.45
Date: 2023-04-21 00:00:00, Action: SELL, Price: 28291.26, Value: $12801.47
Date: 2023-04-21 01:00:00, Action: BUY, Price: 28200.91, Value: $0.45
Date: 2023-04-21 07:00:00, Action: SELL, Price: 28155.03, Value: $12780.64
Date: 2023-04-22 05:00:00, Action: BUY, Price: 27397.63, Value: $0.47
Date: 2023-04-22 08:00:00, Action: SELL, Price: 27211.42, Value: $12693.77
Date: 2023-04-23 04:00:00, Action: BUY, Price: 27605.82, Value: $0.46
Date: 2023-04-23 07:00:00, Action: SELL, Price: 27718.90, Value: $12745.77
Date: 2023-04-24 09:00:00, Action: BUY, Price: 27313.10, Value: $0.47
Date: 2023-04-25 04:00:00, Action: SELL, Price: 27410.00, Value: $12790.99
Date: 2023-04-25 07:00:00, Action: BUY, Price: 27266.54, Value: $0.47
Date: 2023-04-26 07:00:00, Action: SELL, Price: 28376.18, Value: $13311.53
Date: 2023-04-26 18:00:00, Action: BUY, Price: 29741.53, Value: $0.45
Date: 2023-04-28 03:00:00, Action: SELL, Price: 29420.52, Value: $13167.86
Date: 2023-04-28 14:00:00, Action: BUY, Price: 29096.69, Value: $0.45
Date: 2023-04-28 20:00:00, Action: SELL, Price: 29338.01, Value: $13277.07
